Name,Age,Position,Lifeboat,Survived,Class,HomeNation,PositionDetailed,Gender,AgeBinned
"Allen, Miss Elizabeth Walton",29,P,2,1,1,USA,Passenger,F,21-30
"Allison, Mr. Hudson Joshua Creighton",30,P,,0,1,Canada,Passenger,M,21-30
"Swane, Mr. George Swane",19,P,,0,1,Canada,Passenger,M,11-20
"Brown, Miss Amelia Mary ""Mildred""",18,P,11,1,1,England,Passenger,F,11-20
"Allison, Mrs. Bessie Waldo (née Daniels)",25,P,,0,1,Canada,Passenger,F,21-30
"Daniels, Miss Sarah ",33,P,8,1,1,Canada,Passenger,F,31-40
"Allison, Miss Helen Loraine",2,P,,0,1,Canada,Passenger,F,< 10
"Allison, Master Hudson Trevor",1,P,11,1,1,Canada,Passenger,M,< 10
"Cleaver, Miss Alice Catherine ",22,P,11,1,1,England,Passenger,F,21-30
"Anderson, Mr. Harry",47,P,3,1,1,USA,Passenger,M,41-50
"Andrews, Miss Kornelia Theodosia",62,P,10,1,1,USA,Passenger,F,61-70
"Andrews, Mr. Thomas",39,P,,0,1,Ireland,Passenger,M,31-40
"Appleton, Mrs. Charlotte Lane (née Lamson)",53,P,2,1,1,USA,Passenger,F,51-60
"Artagaveytia, Mr. Ramon",71,P,,0,1,Argentina,Passenger,M,71+
"Astor, Colonel John Jacob IV",47,P,,0,1,USA,Passenger,M,41-50
"Astor, Mrs. Madeleine Talmage (née Force)",18,P,4,1,1,USA,Passenger,F,11-20
"Bidois, Miss Rosalie ",46,P,4,1,1,USA,Passenger,F,41-50
"Endres, Miss Caroline Louise ",39,P,4,1,1,USA,Passenger,F,31-40
"Aubart, Mrs. Léontine Pauline[50]",24,P,9,1,1,France,Passenger,F,21-30
"Sägesser, Miss Emma ",24,P,9,1,1,France,Passenger,F,21-30
"Barkworth, Mr. Algernon Henry Wilson",47,P,B,1,1,England,Passenger,M,41-50
"Baumann, Mr. John D.",60,P,,0,1,USA,Passenger,M,51-60
"Baxter, Mrs. Hélène (née de Lanaudière-Chaput)",50,P,6,1,1,Canada,Passenger,F,41-50
"Baxter, Mr. Quigg Edmond",24,P,,0,1,Canada,Passenger,M,21-30
"Beattie, Mr. Thomson",36,P,A[51],1,1,Canada,Passenger,M,31-40
"Beckwith, Mr. Richard Leonard",37,P,5,1,1,USA,Passenger,M,31-40
"Beckwith, Mrs. Sallie (née Monypeny)",46,P,5,1,1,USA,Passenger,F,41-50
"Behr, Mr. Karl Howell",26,P,5,1,1,USA,Passenger,M,21-30
"Birnbaum, Mr. Jakob",24,P,--,0,1,Belgium,Passenger,M,21-30
"Bishop, Mr. Dickinson H. ""Dick""",25,P,7,1,1,USA,Passenger,M,21-30
"Bishop, Mrs. Helen (née Walton)[52][53]",19,P,7,1,1,USA,Passenger,F,11-20
"Björnström-Steffanson, Mr. Mauritz Håkan",28,P,D,1,1,Sweden,Passenger,M,21-30
"Blackwell, Mr. Stephen Weart",45,P,,0,1,USA,Passenger,M,41-50
"Blank, Mr. Henry",39,P,7,1,1,USA,Passenger,M,31-40
"Bonnell, Miss Elizabeth",61,P,8,1,1,USA,Passenger,F,61-70
"Bonnell, Miss Caroline",30,P,8,1,1,USA,Passenger,F,21-30
"Borebank, Mr. John James",42,P,,0,1,England,Passenger,M,41-50
"Bowerman, Miss Elsie Edith",22,P,6,1,1,England,Passenger,F,21-30
"Brady, Mr. John Bertram",41,P,,0,1,USA,Passenger,M,41-50
"Brandeis, Mr. Emil",48,P,,0,1,USA,Passenger,M,41-50
"Brereton, Mr. George Andrew (alias George A. Brayton)",37,P,9,1,1,USA,Passenger,M,31-40
"Brewe, Dr. Arthur Jackson",45,P,,0,1,USA,Passenger,M,41-50
"Brown, Mrs. Caroline Lane (née Lamson)",59,P,D,1,1,USA,Passenger,F,51-60
"Brown, Mrs. Margaret (née Tobin)",44,P,6,1,1,USA,Passenger,F,41-50
"Bucknell, Mrs. Emma Eliza (née Ward)",59,P,8,1,1,USA,Passenger,F,51-60
"Bazzani, Miss Albina ",36,P,8,1,1,USA,Passenger,F,31-40
"Butt, Major Archibald Willingham",46,P,,0,1,USA,Passenger,M,41-50
"Calderhead, Mr. Edward Pennington",42,P,5,1,1,USA,Passenger,M,41-50
"Candee, Mrs. Helen Churchill (née Hungerford)",53,P,6,1,1,USA,Passenger,F,51-60
"Cardeza, Mrs. Charlotte Wardle (née Drake)",58,P,3,1,1,USA,Passenger,F,51-60
"Ward, Miss Annie Moore ",38,P,3,1,1,USA,Passenger,F,31-40
"Cardeza, Mr. Thomas Drake Martinez",36,P,3,1,1,USA,Passenger,M,31-40
"Lesueur, Mr. Gustave J. ",35,P,3,1,1,USA,Passenger,M,31-40
"Carlsson, Mr. Frans Olof",33,P,,0,1,USA,Passenger,M,31-40
"Carrau, Mr. Francisco M.",31,P,,0,1,Uruguay,Passenger,M,31-40
"Carrau, Mr. José Pedro",17,P,,0,1,Uruguay,Passenger,M,11-20
"Carter, Mr. William Ernest",36,P,C,1,1,USA,Passenger,M,31-40
"Cairns, Mr. Alexander ",28,P,,0,1,USA,Passenger,M,21-30
"Aldworth, Mr. Charles Augustus",30,P,,0,1,USA,Passenger,M,21-30
"Carter, Mrs. Lucile (née Polk)",36,P,4,1,1,USA,Passenger,F,31-40
"Serreplan, Miss Auguste ",30,P,4,1,1,USA,Passenger,F,21-30
"Carter, Miss Lucile Polk",13,P,4,1,1,USA,Passenger,F,11-20
"Carter, Master William Thornton II",11,P,4,1,1,USA,Passenger,M,11-20
"Case, Mr. Howard Brown",49,P,,0,1,England,Passenger,M,41-50
"Cassebeer, Mrs. Eleanor Genevieve (née Fosdick)",36,P,5,1,1,USA,Passenger,F,31-40
"Cavendish, Mr. Tyrell William",36,P,,0,1,England,Passenger,M,31-40
"Cavendish, Mrs. Julia Florence (née Siegel)",25,P,6,1,1,England,Passenger,F,21-30
"Barber, Miss Ellen ""Nellie"" ",26,P,6,1,1,England,Passenger,F,21-30
"Chaffee, Mr. Hubert Fuller",46,P,,0,1,USA,Passenger,M,41-50
"Chaffee, Mrs. Carrie Constance (née Toogood)",47,P,4,1,1,USA,Passenger,F,41-50
"Chambers, Mr. Norman Campbell",27,P,5,1,1,USA,Passenger,M,21-30
"Chambers, Mrs. Bertha (née Griggs)",32,P,5,1,1,USA,Passenger,F,31-40
"Cherry, Miss Gladys",30,P,8,1,1,England,Passenger,F,21-30
"Chevré, Mr. Paul Romaine Marie Léonce",45,P,7,1,1,France,Passenger,M,41-50
"Chibnall, Mrs. Edith Martha Bowerman (née Barber)",48,P,6,1,1,England,Passenger,F,41-50
"Chisholm, Mr. Roderick Robert Crispin[54]",40,P,,0,1,Ireland,Passenger,M,31-40
